baskervilles10	0	0	Chapter	Chapter	NN	(S(NP*	***
baskervilles10	0	1	10.	10.	NNS	*)	***
baskervilles10	0	2	Extract	Extract	VB	(VP*	***
baskervilles10	0	3	from	from	IN	(PP*	***
baskervilles10	0	4	the	the	DT	(NP(NP*	***
baskervilles10	0	5	Diary	Diary	NNP	*)	***
baskervilles10	0	6	of	of	IN	(PP*	***
baskervilles10	0	7	Dr.	Dr.	NNP	(NP*	***
baskervilles10	0	8	Watson	Watson	NNP	*))))))	***

baskervilles10	1	0	So	So	RB	(S(ADVP*	***
baskervilles10	1	1	far	far	RB	*)	***
baskervilles10	1	2	I	I	PRP	(NP*)	***
baskervilles10	1	3	have	have	VBP	(VP*	***
baskervilles10	1	4	been	be	VBN	(VP*	***
baskervilles10	1	5	able	able	JJ	(ADJP*	***
baskervilles10	1	6	to	to	TO	(S(VP*	***
baskervilles10	1	7	quote	quote	VB	(VP*	***
baskervilles10	1	8	from	from	IN	(PP*	***
baskervilles10	1	9	the	the	DT	(NP(NP*	***
baskervilles10	1	10	reports	report	NNS	*)	***
baskervilles10	1	11	which	which	WDT	(SBAR(WHNP*)	***
baskervilles10	1	12	I	I	PRP	(S(NP*)	***
baskervilles10	1	13	have	have	VBP	(VP*	***
baskervilles10	1	14	forwarded	forward	VBN	(VP*	***
baskervilles10	1	15	during	during	IN	(PP*	***
baskervilles10	1	16	these	these	DT	(NP*	***
baskervilles10	1	17	early	early	JJ	*	***
baskervilles10	1	18	days	day	NNS	*))	***
baskervilles10	1	19	to	to	TO	(PP*	***
baskervilles10	1	20	Sherlock	Sherlock	NNP	(NP*	***
baskervilles10	1	21	Holmes	Holmes	NNP	*))))))))))))))	***
baskervilles10	1	22	.	.	.	*)	***

baskervilles10	2	0	Now	Now	RB	(S(ADVP*)	***
baskervilles10	2	1	,	,	,	*	***
baskervilles10	2	2	however	however	RB	(ADVP*)	***
baskervilles10	2	3	,	,	,	*	***
baskervilles10	2	4	I	I	PRP	(NP*)	***
baskervilles10	2	5	have	have	VBP	(VP*	***
baskervilles10	2	6	arrived	arrive	VBN	(VP*	***
baskervilles10	2	7	at	at	IN	(PP*	***
baskervilles10	2	8	a	a	DT	(NP(NP*	***
baskervilles10	2	9	point	point	NN	*)	***
baskervilles10	2	10	in	in	IN	(PP*	***
baskervilles10	2	11	my	my	PRP$	(NP*	***
baskervilles10	2	12	narrative	narrative	NN	*))	***
baskervilles10	2	13	where	where	WRB	(SBAR(WHADVP*)	***
baskervilles10	2	14	I	I	PRP	(S(NP*)	***
baskervilles10	2	15	am	be	VBP	(VP*	***
baskervilles10	2	16	compelled	compel	VBN	(VP*	***
baskervilles10	2	17	to	to	TO	(S(VP(VP*	***
baskervilles10	2	18	abandon	abandon	VB	(VP*	***
baskervilles10	2	19	this	this	DT	(NP*	***
baskervilles10	2	20	method	method	NN	*)))	***
baskervilles10	2	21	and	and	CC	*	***
baskervilles10	2	22	to	to	TO	(VP*	***
baskervilles10	2	23	trust	trust	VB	(VP*	***
baskervilles10	2	24	once	once	RB	(ADVP*	***
baskervilles10	2	25	more	more	RBR	*)	***
baskervilles10	2	26	to	to	TO	(PP*	***
baskervilles10	2	27	my	my	PRP$	(NP*	***
baskervilles10	2	28	recollections	recollection	NNS	*))))))	***
baskervilles10	2	29	,	,	,	*	***
baskervilles10	2	30	aided	aid	VBN	(S(VP*	***
baskervilles10	2	31	by	by	IN	(PP*	***
baskervilles10	2	32	the	the	DT	(NP(NP*	***
baskervilles10	2	33	diary	diary	NN	*)	***
baskervilles10	2	34	which	which	WDT	(SBAR(WHNP*)	***
baskervilles10	2	35	I	I	PRP	(S(NP*)	***
baskervilles10	2	36	kept	keep	VBD	(VP*	***
baskervilles10	2	37	at	at	IN	(PP*	***
baskervilles10	2	38	the	the	DT	(NP*	***
baskervilles10	2	39	time	time	NN	*)))))))))))))))))	***
baskervilles10	2	40	.	.	.	*)	***

baskervilles10	3	0	A	A	DT	(S(NP(NP*	***
baskervilles10	3	1	few	few	JJ	*	***
baskervilles10	3	2	extracts	extract	NNS	*)	***
