wisteria02	0	0	2.	2.	NNP	(NP*	***
wisteria02	0	1	The	The	NNP	*	***
wisteria02	0	2	Tiger	Tiger	NNP	*	***
wisteria02	0	3	of	of	IN	*	***
wisteria02	0	4	San	San	NNP	*	***
wisteria02	0	5	Pedro	Pedro	NNP	*)	***

wisteria02	1	0	A	A	DT	(S(NP(NP*	***
wisteria02	1	1	cold	cold	JJ	*	***
wisteria02	1	2	and	and	CC	*	***
wisteria02	1	3	melancholy	melancholy	JJ	*	***
wisteria02	1	4	walk	walk	NN	*)	***
wisteria02	1	5	of	of	IN	(PP*	***
wisteria02	1	6	a	a	DT	(NP(NP*	***
wisteria02	1	7	couple	couple	NN	*)	***
wisteria02	1	8	of	of	IN	(PP*	***
wisteria02	1	9	miles	mile	NNS	(NP*)))))	***
wisteria02	1	10	brought	bring	VBD	(VP*	***
wisteria02	1	11	us	us	PRP	(NP*)	***
wisteria02	1	12	to	to	TO	(PP*	***
wisteria02	1	13	a	a	DT	(NP(NP*	***
wisteria02	1	14	high	high	JJ	*	***
wisteria02	1	15	wooden	wooden	JJ	*	***
wisteria02	1	16	gate	gate	NN	*)	***
wisteria02	1	17	,	,	,	*	***
wisteria02	1	18	which	which	WDT	(SBAR(WHNP*)	***
wisteria02	1	19	opened	open	VBD	(S(VP*	***
wisteria02	1	20	into	into	IN	(PP*	***
wisteria02	1	21	a	a	DT	(NP(NP*	***
wisteria02	1	22	gloomy	gloomy	JJ	*	***
wisteria02	1	23	avenue	avenue	NN	*)	***
wisteria02	1	24	of	of	IN	(PP*	***
wisteria02	1	25	chestnuts	chestnut	NNS	(NP*))))))))))	***
wisteria02	1	26	.	.	.	*)	***

wisteria02	2	0	The	The	DT	(S(NP*	***
wisteria02	2	1	curved	curve	JJ	*	***
wisteria02	2	2	and	and	CC	*	***
wisteria02	2	3	shadowed	shadow	JJ	*	***
wisteria02	2	4	drive	drive	NN	*)	***
wisteria02	2	5	led	lead	VBD	(VP*	***
wisteria02	2	6	us	us	PRP	(NP*)	***
wisteria02	2	7	to	to	TO	(PP*	***
wisteria02	2	8	a	a	DT	(NP(NP*	***
wisteria02	2	9	low	low	JJ	*	***
wisteria02	2	10	,	,	,	*	***
wisteria02	2	11	dark	dark	JJ	*	***
wisteria02	2	12	house	house	NN	*)	***
wisteria02	2	13	,	,	,	*	***
wisteria02	2	14	pitch-black	pitch-black	JJ	(ADJP*	***
wisteria02	2	15	against	against	IN	(PP*	***
wisteria02	2	16	a	a	DT	(NP*	***
wisteria02	2	17	slate-coloured	slate-coloured	JJ	*	***
wisteria02	2	18	sky	sky	NN	*))))))	***
wisteria02	2	19	.	.	.	*)	***

wisteria02	3	0	From	From	IN	(S(PP*	***
wisteria02	3	1	the	the	DT	(NP(NP*	***
wisteria02	3	2	front	front	JJ	*	***
wisteria02	3	3	window	window	NN	*)	***
wisteria02	3	4	upon	upon	IN	(PP*	***
wisteria02	3	5	the	the	DT	(NP(NP*	***
wisteria02	3	6	left	left	NN	*)	***
wisteria02	3	7	of	of	IN	(PP*	***
wisteria02	3	8	the	the	DT	(NP*	***
wisteria02	3	9	door	door	NN	*))))))	***
wisteria02	3	10	there	there	EX	(NP*)	***
wisteria02	3	11	peeped	peep	VBD	(VP*	***
wisteria02	3	12	a	a	DT	(NP(NP*	***
wisteria02	3	13	glimmer	glimmer	NN	*)	***
wisteria02	3	14	of	of	IN	(PP*	***
wisteria02	3	15	a	a	DT	(NP*	***
wisteria02	3	16	feeble	feeble	JJ	*	***
wisteria02	3	17	light	light	NN	*))))	***
wisteria02	3	18	.	.	.	*)	***

wisteria02	4	0	``	``	``	(SINV*	***
wisteria02	4	1	There	There	EX	(S(NP*)	***
wisteria02	4	2	's	'	VBZ	(VP*	***
wisteria02	4	3	a	a	DT	(NP*	***
wisteria02	4	4	constable	constable	NNP	*)	***
wisteria02	4	5	in	in	IN	(PP*	***
wisteria02	4	6	possession	possession	NN	(NP*))))	***
wisteria02	4	7	,	,	,	*	***
wisteria02	4	8	''	''	''	*	***
wisteria02	4	9	said	say	VBD	(VP*)	***
wisteria02	4	10	Baynes	Baynes	NNP	(NP*)	***
wisteria02	4	11	.	.	.	*)	***

wisteria02	5	0	``	``	``	(S*	***
wisteria02	5	1	I	I	PRP	(NP*)	***
wisteria02	5	2	'll	'll	MD	(VP*	***
wisteria02	5	3	knock	knock	VB	(VP*	***
wisteria02	5	4	at	at	IN	(PP*	***
wisteria02	5	5	the	the	DT	(NP*	***
wisteria02	5	6	window	window	NN	*))))	***
wisteria02	5	7	.	.	.	*	***
wisteria02	5	8	''	''	''	*)	***

wisteria02	6	0	He	He	PRP	(S(NP*)	***
wisteria02	6	1	stepped	step	VBD	(VP(VP*	***
wisteria02	6	2	across	across	IN	(PP*	***
wisteria02	6	3	the	the	DT	(NP*	***
wisteria02	6	4	grass	grass	NN	*	***
wisteria02	6	5	plot	plot	NN	*)))	***
wisteria02	6	6	and	and	CC	*	***
wisteria02	6	7	tapped	tap	VBD	(VP*	***
wisteria02	6	8	with	with	IN	(PP*	***
wisteria02	6	9	his	his	PRP$	(NP(NP*	***
wisteria02	6	10	hand	hand	NN	*)	***
wisteria02	6	11	on	on	IN	(PP*	***
wisteria02	6	12	the	the	DT	(NP*	***
wisteria02	6	13	pane	pane	NN	*))))))	***
wisteria02	6	14	.	.	.	*)	***

wisteria02	7	0	Through	Through	IN	(S(PP*	***
wisteria02	7	1	the	the	DT	(NP*	***
wisteria02	7	2	fogged	fogged	JJ	*	***
wisteria02	7	3	glass	glass	NN	*))	***
wisteria02	7	4	I	I	PRP	(NP*)	***
wisteria02	7	5	dimly	dimly	RB	(VP(VP(ADVP*)	***
wisteria02	7	6	saw	see	VBD	*	***
wisteria02	7	7	a	a	DT	(NP*	***
wisteria02	7	8	man	man	NN	*	***
wisteria02	7	9	spring	spring	NN	*)	***
wisteria02	7	10	up	up	RP	(PRT*)	***
wisteria02	7	11	from	from	IN	(PP*	***
wisteria02	7	12	a	a	DT	(NP*	***
wisteria02	7	13	chair	chair	NN	*))	***
wisteria02	7	14	beside	beside	IN	(PP*	***
wisteria02	7	15	the	the	DT	(NP*	***
wisteria02	7	16	fire	fire	NN	*)))	***
wisteria02	7	17	,	,	,	*	***
wisteria02	7	18	and	and	CC	*	***
wisteria02	7	19	heard	hear	VBD	(VP*	***
wisteria02	7	20	a	a	DT	(NP(NP*	***
wisteria02	7	21	sharp	sharp	JJ	*	***
wisteria02	7	22	cry	cry	NN	*)	***
wisteria02	7	23	from	from	IN	(PP*	***
wisteria02	7	24	within	within	IN	(PP*	***
wisteria02	7	25	the	the	DT	(NP*	***
wisteria02	7	26	room	room	NN	*))))))	***
wisteria02	7	27	.	.	.	*)	***

wisteria02	8	0	An	An	DT	(S(ADVP(NP*	***
wisteria02	8	1	instant	instant	NN	*)	***
wisteria02	8	2	later	later	RBR	*)	***
wisteria02	8	3	a	a	DT	(NP*	***
wisteria02	8	4	white-faced	white-faced	JJ	*	***
wisteria02	8	5	,	,	,	*	***
wisteria02	8	6	hard-breathing	hard-breathing	JJ	*	***
wisteria02	8	7	policeman	policeman	NN	*)	***
wisteria02	8	8	had	have	VBD	(VP*	***
wisteria02	8	9	opened	open	VBN	(VP*	***
wisteria02	8	10	the	the	DT	(NP*	***
wisteria02	8	11	door	door	NN	*)	***
wisteria02	8	12	,	,	,	*	***
wisteria02	8	13	the	the	DT	(NP(NP*	***
wisteria02	8	14	candle	candle	JJ	*	***
wisteria02	8	15	wavering	waver	NN	*)	***
wisteria02	8	16	in	in	IN	(PP*	***
wisteria02	8	17	his	his	PRP$	(NP*	***
wisteria02	8	18	trembling	tremble	VBG	*	***
wisteria02	8	19	hand	hand	NN	*)))))	***
wisteria02	8	20	.	.	.	*)	***

wisteria02	9	0	``	``	``	(SINV*	***
wisteria02	9	1	What	What	WP	(SBARQ(WHNP*)	***
wisteria02	9	2	's	'	VBZ	(SQ(VP*	***
wisteria02	9	3	the	the	DT	(NP(NP*	***
