
baskervilles05	0	0	Chapter	Chapter	NNP	(NP*	***
baskervilles05	0	1	5.	5.	NN	*	***
baskervilles05	0	2	Three	Three	NNP	*	***
baskervilles05	0	3	Broken	Broken	JJ	*	***
baskervilles05	0	4	Threads	Thread	NNS	*)	***

baskervilles05	1	0	Sherlock	Sherlock	NNP	(S(NP*	***
baskervilles05	1	1	Holmes	Holmes	NNP	*)	***
baskervilles05	1	2	had	have	VBD	(VP*	***
baskervilles05	1	3	,	,	,	(PRN*	***
baskervilles05	1	4	in	in	IN	(PP*	***
baskervilles05	1	5	a	a	DT	(NP*	***
baskervilles05	1	6	very	very	RB	(ADJP*	***
baskervilles05	1	7	remarkable	remarkable	JJ	*)	***
baskervilles05	1	8	degree	degree	NN	*))	***
baskervilles05	1	9	,	,	,	*)	***
baskervilles05	1	10	the	the	DT	(NP(NP*	***
baskervilles05	1	11	power	power	NN	*)	***
baskervilles05	1	12	of	of	IN	(PP*	***
baskervilles05	1	13	detaching	detach	VBG	(S(VP*	***
baskervilles05	1	14	his	his	PRP$	(NP*	***
baskervilles05	1	15	mind	mind	NN	*)	***
baskervilles05	1	16	at	at	IN	(PP*	***
baskervilles05	1	17	will	will	NN	(NP*)))))))	***
baskervilles05	1	18	.	.	.	*)	***

baskervilles05	2	0	For	For	IN	(S(S(PP*	***
baskervilles05	2	1	two	two	CD	(NP*	***
baskervilles05	2	2	hours	hour	NNS	*))	***
baskervilles05	2	3	the	the	DT	(NP*	***
baskervilles05	2	4	strange	strange	JJ	*	***
baskervilles05	2	5	business	business	NN	*	***
baskervilles05	2	6	in	in	IN	(SBAR(WHPP*	***
baskervilles05	2	7	which	which	WDT	(WHNP*))	***
baskervilles05	2	8	we	we	PRP	(S(NP*)	***
baskervilles05	2	9	had	have	VBD	(VP*	***
baskervilles05	2	10	been	be	VBN	(VP*	***
baskervilles05	2	11	involved	involve	VBN	(VP*))))))	***
baskervilles05	2	12	appeared	appear	VBD	(VP*	***
baskervilles05	2	13	to	to	TO	(S(VP*	***
baskervilles05	2	14	be	be	VB	(VP*	***
baskervilles05	2	15	forgotten	forget	VBN	(VP*))))))	***
baskervilles05	2	16	,	,	,	*	***
baskervilles05	2	17	and	and	CC	*	***
baskervilles05	2	18	he	he	PRP	(S(NP*)	***
baskervilles05	2	19	was	be	VBD	(VP*	***
baskervilles05	2	20	entirely	entirely	RB	(VP(ADVP*)	***
baskervilles05	2	21	absorbed	absorb	VBN	*	***
baskervilles05	2	22	in	in	IN	(PP*	***
baskervilles05	2	23	the	the	DT	(NP(NP*	***
baskervilles05	2	24	pictures	picture	NNS	*)	***
baskervilles05	2	25	of	of	IN	(PP*	***
baskervilles05	2	26	the	the	DT	(NP*	***
baskervilles05	2	27	modern	modern	JJ	*	***
baskervilles05	2	28	Belgian	Belgian	JJ	*	***
baskervilles05	2	29	masters	master	NNS	*)))))))	***
baskervilles05	2	30	.	.	.	*)	***

baskervilles05	3	0	He	He	PRP	(S(NP*)	***
baskervilles05	3	1	would	would	MD	(VP*	***
baskervilles05	3	2	talk	talk	VB	(VP*	***
baskervilles05	3	3	of	of	IN	(PP*	***
baskervilles05	3	4	nothing	nothing	NN	(NP(NP*	***
baskervilles05	3	5	but	but	CC	*	***
baskervilles05	3	6	art	art	NN	*)	***
baskervilles05	3	7	,	,	,	*	***
baskervilles05	3	8	of	of	IN	(SBAR(WHPP*	***
baskervilles05	3	9	which	which	WDT	(WHNP*))	***
baskervilles05	3	10	he	he	PRP	(S(NP*)	***
baskervilles05	3	11	had	have	VBD	(VP*	***
baskervilles05	3	12	the	the	DT	(NP*	***
baskervilles05	3	13	crudest	crude	JJ	*	***
baskervilles05	3	14	ideas	idea	NNS	*)	***
baskervilles05	3	15	,	,	,	*	***
baskervilles05	3	16	from	from	IN	(PP*	***
baskervilles05	3	17	our	our	PRP$	(S(NP*)	***
baskervilles05	3	18	leaving	leave	VBG	(VP*	***
baskervilles05	3	19	the	the	DT	(NP*	***
baskervilles05	3	20	gallery	gallery	NN	*)	***
baskervilles05	3	21	until	until	IN	(SBAR*	***
baskervilles05	3	22	we	we	PRP	(S(NP*)	***
baskervilles05	3	23	found	find	VBD	(VP*	***
baskervilles05	3	24	ourselves	ourselves	PRP	(NP*)	***
baskervilles05	3	25	at	at	IN	(PP*	***
baskervilles05	3	26	the	the	DT	(NP*	***
baskervilles05	3	27	Northumberland	Northumberland	NNP	*	***
baskervilles05	3	28	Hotel	Hotel	NNP	*)))))))))))))))	***
baskervilles05	3	29	.	.	.	*)	***

baskervilles05	4	0	``	``	``	(SINV*	***
baskervilles05	4	1	Sir	Sir	NNP	(S(NP*	***
baskervilles05	4	2	Henry	Henry	NNP	*	***
baskervilles05	4	3	Baskerville	Baskerville	NNP	*)	***
baskervilles05	4	4	is	be	VBZ	(VP*	***
baskervilles05	4	5	upstairs	upstairs	RB	(ADVP*)	***
baskervilles05	4	6	expecting	expect	VBG	(VP*	***
baskervilles05	4	7	you	you	PRP	(NP*))))	***
baskervilles05	4	8	,	,	,	*	***
baskervilles05	4	9	''	''	''	*	***
baskervilles05	4	10	said	say	VBD	(VP*)	***
baskervilles05	4	11	the	the	DT	(NP*	***
baskervilles05	4	12	clerk	clerk	NN	*)	***
baskervilles05	4	13	.	.	.	*)	***

baskervilles05	5	0	``	``	``	(S*	***
baskervilles05	5	1	He	He	PRP	(NP*)	***
baskervilles05	5	2	asked	ask	VBD	(VP*	***
baskervilles05	5	3	me	me	PRP	(NP*)	***
baskervilles05	5	4	to	to	TO	(S(VP*	***
baskervilles05	5	5	show	show	VB	(VP*	***
baskervilles05	5	6	you	you	PRP	(NP*)	***
baskervilles05	5	7	up	up	RP	(PRT*)	***
