
baskervilles07	0	0	Chapter	Chapter	NN	(NP(NP*	***
baskervilles07	0	1	7.	7.	NN	*	***
baskervilles07	0	2	The	The	NNP	*	***
baskervilles07	0	3	Stapletons	Stapletons	NNP	*)	***
baskervilles07	0	4	of	of	IN	(PP*	***
baskervilles07	0	5	Merripit	Merripit	NNP	(NP*	***
baskervilles07	0	6	House	House	NNP	*)))	***

baskervilles07	1	0	The	The	DT	(S(NP(NP*	***
baskervilles07	1	1	fresh	fresh	JJ	*	***
baskervilles07	1	2	beauty	beauty	NN	*)	***
baskervilles07	1	3	of	of	IN	(PP*	***
baskervilles07	1	4	the	the	DT	(NP*	***
baskervilles07	1	5	following	follow	JJ	*	***
baskervilles07	1	6	morning	morning	NN	*)))	***
baskervilles07	1	7	did	do	VBD	(VP*	***
baskervilles07	1	8	something	something	NN	(NP*)	***
baskervilles07	1	9	to	to	TO	(S(VP*	***
baskervilles07	1	10	efface	efface	VB	(VP*	***
baskervilles07	1	11	from	from	IN	(PP*	***
baskervilles07	1	12	our	our	PRP$	(NP*	***
baskervilles07	1	13	minds	mind	NNS	*))	***
baskervilles07	1	14	the	the	DT	(NP(NP*	***
baskervilles07	1	15	grim	grim	JJ	(ADJP*	***
baskervilles07	1	16	and	and	CC	*	***
baskervilles07	1	17	gray	gray	JJ	*)	***
baskervilles07	1	18	impression	impression	NN	*)	***
baskervilles07	1	19	which	which	WDT	(SBAR(WHNP*)	***
baskervilles07	1	20	had	have	VBD	(S(VP*	***
baskervilles07	1	21	been	be	VBN	(VP*	***
baskervilles07	1	22	left	leave	VBN	(VP*	***
baskervilles07	1	23	upon	upon	RP	(PRT*)	***
baskervilles07	1	24	both	both	DT	(NP(NP*)	***
baskervilles07	1	25	of	of	IN	(PP*	***
baskervilles07	1	26	us	us	PRP	(NP*)))	***
baskervilles07	1	27	by	by	IN	(PP*	***
baskervilles07	1	28	our	our	PRP$	(NP(NP*	***
baskervilles07	1	29	first	first	JJ	*	***
baskervilles07	1	30	experience	experience	NN	*)	***
baskervilles07	1	31	of	of	IN	(PP*	***
baskervilles07	1	32	Baskerville	Baskerville	NNP	(NP*	***
baskervilles07	1	33	Hall	Hall	NNP	*))))))))))))))	***
baskervilles07	1	34	.	.	.	*)	***

baskervilles07	2	0	As	As	IN	(S(SBAR*	***
baskervilles07	2	1	Sir	Sir	NNP	(S(NP*	***
baskervilles07	2	2	Henry	Henry	NNP	*	***
baskervilles07	2	3	and	and	CC	*	***
baskervilles07	2	4	I	I	PRP	*)	***
